comparison_ticker,ipo_ticker,first_open_price,price_10_days,price_30_days,price_60_days,price_90_days,price_180_days,current_price
6326.T,4882.T,2285.0,2252.0,2223.5,2492.0,2481.5,2112.0,1666.0
4519.T,7372.T,4230.0,4331.0,3985.0,4127.0,4306.0,3859.0,8328.0
8058.T,7370.T,1001.6666870117188,1001.6666870117188,1051.6666259765625,1216.3333740234375,1188.0,1396.6666259765625,2486.0
8331.T,7371.T,694.0,674.0,639.0,715.0,729.0,695.0,1205.0
7012.T,4198.T,2538.0,2345.0,2212.0,2440.0,2347.0,2116.0,7987.0
7012.T,4199.T,2538.0,2345.0,2212.0,2440.0,2347.0,2116.0,7987.0
2503.T,7369.T,2165.0,2306.0,2152.0,1974.5,2076.5,1922.5,2155.5
6113.T,5074.T,1194.0,1125.0,1168.0,1142.0,1233.0,1128.0,1378.0
5333.T,4194.T,1943.0,2021.0,2051.0,1759.0,1887.0,2001.0,1677.0
1801.T,4196.T,4135.0,4150.0,3780.0,3785.0,3610.0,3680.0,7027.0
3099.T,4888.T,693.0,781.0,870.0,761.0,774.0,850.0,1736.5
9984.T,4498.T,9958.0,9891.0,8162.0,7635.0,6181.0,5360.0,6810.0
5233.T,2933.T,2815.0,2747.0,2567.0,2470.0,2479.0,2337.0,3878.0
2502.T,7698.T,1580.0,1484.6666259765625,1744.3333740234375,1731.3333740234375,1641.6666259765625,1491.3333740234375,2022.5
7004.T,4193.T,820.0,814.0,728.0,731.0,805.0,790.0,850.0
7270.T,7368.T,2168.0,2089.5,2063.0,2241.5,2066.0,2073.5,2520.0
6952.T,7367.T,2134.0,1953.0,1767.0,1881.0,1732.0,1502.0,1127.0
2432.T,6521.T,2201.0,2240.0,2044.0,2278.0,1965.0,1762.0,3555.0
8801.T,4180.T,860.3333129882812,821.0,809.5,890.1666870117188,855.6666870117188,749.6666870117188,1413.5
5802.T,4192.T,1693.0,1656.0,1638.5,1675.0,1520.5,1474.5,2056.0
2768.T,7343.T,1620.0,1535.0,1640.0,1695.0,1605.0,1693.0,3234.0
9005.T,9327.T,1485.0,1411.0,1393.0,1556.0,1482.0,1573.0,1777.5
9735.T,4179.T,4610.0,4664.0,4606.0,4305.0,4217.0,3996.0,5264.0
6752.T,7363.T,1386.0,1405.0,1215.5,1255.0,1359.5,1227.0,1550.5
1801.T,4178.T,4350.0,4190.0,4230.0,3510.0,3765.0,3545.0,7027.0
6146.T,6614.T,11266.6669921875,12316.6669921875,11700.0,11400.0,10783.3330078125,10900.0,26760.0
9532.T,4176.T,2154.0,2113.0,2108.0,2136.0,2051.0,1871.0,3447.0
6861.T,7362.T,50460.0,51910.0,52520.0,56620.0,60740.0,72370.0,58150.0
4208.T,4177.T,2453.0,2358.0,2224.0,2323.0,2216.0,1972.0,2016.0
9433.T,4432.T,1762.5,1803.0,1659.0,1810.0,1736.0,1678.0,2555.0
2503.T,7361.T,2143.5,2185.5,2073.0,2284.5,2103.5,1890.0,2155.5
6674.T,4175.T,3225.0,2991.0,3025.0,3065.0,2765.0,2352.0,2369.0
7269.T,4885.T,1197.75,1193.0,1193.5,1169.25,1172.5,1327.25,1672.5
9104.T,4174.T,1160.0,1118.3333740234375,1373.3333740234375,1486.6666259765625,1720.0,2136.666748046875,4988.0
6594.T,4173.T,7172.5,6647.5,7022.5,6135.0,6380.0,6507.5,2129.0
4568.T,4936.T,3333.0,3033.0,3155.0,2623.5,2394.5,2815.0,3214.0
8252.T,2983.T,1990.0,2111.0,2142.0,1874.0,2203.0,2298.0,2884.0
6971.T,6613.T,1724.0,1728.5,1853.0,1689.5,1724.25,1663.75,1654.0
